#{"t_start": 1641419706.7975063, "env_id": null}
r,l,t
-19.96,145,19902.378902
19.575,92,19931.262601
-20.17,69,19955.750517
-20.01,160,20008.123402
-19.975,11,20014.50258
-19.755,108,20049.060672
-0.32,93,20076.802149
-19.915,87,20106.02034
-0.09,226,20172.569978
0.27,97,20202.757211
-20.015,2,20206.561231
0.31,61,20226.26615
0.015,14,20233.241395
0.21,46,20248.990649
-19.8,26,20259.039189
18.525,159,20309.160446
0.295,62,20329.123103
0.045,27,20339.766093
-19.875,21,20348.400274
0.115,44,20364.132669
0.22,192,20422.572155
0.105,18,20430.341541
0.175,60,20450.428351
0.315,54,20468.014436
-19.725,36,20481.341707
-0.08,112,20518.064741
-19.885,15,20525.13111
-0.09,166,20577.009339
-0.43,302,20667.064849
0.085,161,20713.703697
0.18,28,20724.15205
0.125,25,20733.762741
19.7,70,20756.235351
0.12,77,20781.455002
-19.85,36,20794.633242
-19.985,5,20799.278075
-19.87,19,20807.620721
-19.8,36,20820.837141
-20.23,103,20855.362911
-0.31,184,20907.201575
-0.53,302,21003.280517
-20.015,2,21007.018118
-19.96,10,21013.012735
0.085,36,21026.154125
-19.89,57,21045.911016
-0.105,117,21080.806643
-20.21,125,21121.269946
-20.02,19,21129.794481
19.275,99,21159.350613
-0.185,29,21170.299326
-0.005,17,21177.67975
-20.0,6,21182.707346
-0.38,302,21267.453277
-19.98,88,21296.569707
19.75,69,21318.45537
-20.225,226,21389.765305
19.75,68,21411.799227
19.15,130,21453.640436
-20.015,2,21457.43106
-20.42,184,21513.374061
0.21,136,21552.407178
-0.29,51,21570.83506
-0.065,11,21576.68283
0.46,121,21613.756789
-0.455,302,21697.205113
-20.015,2,21700.932519
-0.455,302,21785.511207
-20.09,132,21828.870267
-20.02,4,21833.318409
18.425,174,21887.738194
-19.875,16,21895.255992
-0.755,302,21981.954555
-0.15,65,22002.592538
0.075,25,22012.619292
0.575,95,22041.909569
-20.005,8,22047.368385
19.225,105,22080.924644
18.15,208,22139.183944
17.075,272,22214.767457
0.19,69,22237.128541
-0.655,302,22333.82385
-0.23,302,22417.947568
-0.28,302,22501.583657
-0.18,302,22584.89343
-20.015,2,22588.647289
18.925,132,22631.560934
-0.43,302,22727.800865
19.875,53,22745.669604
19.8,62,22765.849699
-20.075,46,22783.118942
-19.785,75,22808.503952
-19.96,120,22847.291481
17.75,223,22911.018425
0.43,73,22933.843341
19.9,46,22949.213588
-0.375,290,23037.865807
-20.08,73,23063.167552
-0.23,302,23149.163515
0.005,178,23201.211667
-20.015,2,23204.994975
-19.865,17,23213.005243
-0.075,135,23252.846416
19.9,55,23271.074177
0.215,64,23293.608325
0.06,21,23302.682573
19.7,65,23324.22537
-20.015,2,23328.294844
-19.905,28,23339.478532
19.025,149,23383.157009
-0.23,302,23467.478598
0.31,111,23501.295274
19.425,81,23528.227141
19.9,50,23545.221449
-0.055,152,23593.383894
-19.785,30,23604.829725
0.19,64,23624.557073
-20.015,2,23628.471427
-19.775,31,23640.168325
0.33,138,23681.248969
-19.905,18,23689.49615
-19.785,25,23699.405015
-19.71,60,23719.144446
-0.015,1,23722.596521
-19.815,42,23737.499597
0.39,99,23767.758504
-19.705,48,23784.390212
-0.43,302,23871.322154
19.975,40,23885.283946
19.875,43,23900.032638
-0.08,147,23947.011565
0.295,52,23964.384429
-19.96,20,23973.494634
0.125,20,23981.948037
-0.305,302,24075.650567
0.28,48,24091.714392
-0.38,302,24187.80717
-0.43,302,24271.594191
-19.875,16,24279.010381
-20.26,100,24317.806397
-0.405,302,24401.527434
-0.78,302,24498.972125
19.9,44,24514.450367
-19.76,40,24528.707321
17.925,207,24587.223129
17.95,222,24649.534015
19.875,49,24666.746037
-0.23,302,24756.95134
-0.005,302,24845.867458
-19.955,118,24881.804281
19.8,51,24899.322253
-20.1,41,24915.168202
-19.895,19,24923.55604
-0.58,302,25019.7658
-0.58,302,25114.502122
0.07,17,25122.315086
-19.735,30,25133.970053
16.925,295,25223.933425
-0.38,302,25308.225577
-0.13,302,25392.936107
-0.33,302,25478.314128
-19.855,18,25486.557056
0.07,302,25570.578684
-19.62,59,25589.54265
-0.12,113,25624.09861
-20.105,43,25640.10465
-0.63,302,25725.090975
19.4,78,25750.819837
-0.08,302,25833.105758
18.55,156,25879.130943
19.95,46,25894.448294
-20.14,102,25928.627138
0.095,17,25936.351541
-0.73,302,26019.839162
19.8,80,26044.822221
17.3,266,26128.04074
19.85,60,26147.858676
19.35,88,26176.825461
19.825,50,26194.032215
-0.57,243,26262.929141
19.8,63,26284.253639
-0.455,302,26370.90389
-19.835,20,26379.430785
-0.155,302,26465.108981
-20.165,127,26507.013813
0.095,302,26596.400017
0.33,73,26618.909387
-19.79,27,26629.887202
-0.255,302,26725.900262
-19.925,11,26731.923259
0.45,65,26752.745888
-20.005,3,26756.760979
0.265,49,26773.155785
-19.82,34,26785.514248
-19.915,72,26809.796218
0.065,19,26818.569429
-19.675,66,26840.783905
0.34,59,26860.461254
0.485,71,26883.387769
18.6,168,26937.282727
0.315,59,26957.325064
-19.96,25,26967.942241
-20.015,2,26971.813429
-0.63,302,27069.56928
-19.535,50,27086.146004
0.35,80,27111.499477
-19.76,30,27122.946279
-19.915,12,27129.197466
0.335,51,27146.244611
-0.555,302,27243.175781
-19.9,16,27250.73637
-0.58,302,27343.361599
19.975,51,27360.764141
-0.555,302,27446.769752
0.235,56,27464.822616
18.025,191,27526.209754
0.265,54,27544.336008
0.205,58,27563.404655
-0.555,302,27659.863115
-0.015,1,27663.160442
0.34,49,27679.375964
-20.015,2,27683.18142
-19.875,16,27690.576014
-20.0,1,27694.080523
19.9,48,27710.85975
-19.91,70,27732.992215
-20.3,141,27779.668949
-0.255,302,27870.752905
18.8,139,27911.841957
-20.035,70,27936.211725
-19.895,14,27943.197234
-20.12,59,27966.235014
-20.345,184,28026.665052
18.8,132,28066.126583
19.975,50,28083.556999
-20.0,1,28087.00169
-0.38,302,28181.849597
0.35,115,28218.013474
-20.015,2,28221.690711
-19.865,17,28229.588614
-0.205,302,28325.226583
18.975,123,28361.897983
0.46,76,28386.17541
-20.005,3,28390.192956
-19.95,6,28394.95854
-0.605,302,28480.475636
19.925,45,28496.177315
0.43,73,28519.807741
0.19,64,28540.349093
0.35,70,28562.397878
19.925,42,28576.655258
-20.005,3,28580.737765
-0.18,302,28664.343786
0.205,38,28677.691172
-19.92,19,28686.561293
-0.015,1,28690.105899
-0.155,302,28769.808183
0.14,49,28785.173408
0.27,127,28823.916291
0.215,54,28841.298302
-0.055,7,28846.127428
20.0,31,28857.292022
0.395,92,28885.494015
-19.905,13,28891.910192
-20.095,94,28922.49784
-19.865,52,28939.989788
-0.455,182,28995.189061
0.38,53,29011.856124
0.145,52,29028.909217
19.9,61,29047.841579
-0.03,302,29127.148564
-0.305,117,29163.696384
0.06,41,29177.277518
0.17,32,29188.690794
0.055,93,29216.182398
-0.21,109,29250.421026
0.145,152,29294.499692
-0.08,302,29380.041461
-19.91,60,29399.046145
-0.805,302,29479.469107
17.075,275,29561.470787
-20.0,1,29564.793381
-0.455,302,29648.81289
19.025,137,29688.202699
-19.875,16,29695.498432
-20.26,160,29743.787286
-0.255,302,29834.997467
-0.755,302,29922.90127
-19.845,19,29931.44726
19.75,63,29951.260144
19.975,48,29966.72019
19.8,88,29992.243848
18.875,130,30029.682114
0.2,85,30054.780566
0.565,64,30074.164711
-0.225,280,30148.691501
-19.955,68,30173.055131
-0.015,1,30176.420602
-19.92,14,30183.196433
-0.605,302,30266.158424
18.4,165,30311.941206
19.625,91,30339.292167
19.45,81,30363.190203
-20.19,237,30434.811822
19.175,121,30468.955491
-0.43,302,30554.894046
19.8,71,30576.647753
-0.305,302,30656.531661
-19.895,14,30663.265899
19.525,93,30692.077507
0.3,145,30734.857455
-19.86,165,30780.20383
0.255,68,30800.932006
-0.33,302,30879.950096
0.07,22,30889.125833
19.875,49,30904.881746
0.175,130,30943.270915
-0.28,302,31022.582842
19.875,56,31040.273383
0.105,138,31078.641171
19.875,45,31093.552774
0.18,73,31115.382207
18.2,198,31174.039815
-19.705,43,31189.089375
-0.43,302,31269.686729
-0.43,302,31351.141296
-20.015,12,31357.646757
19.875,66,31378.359137
-0.53,302,31469.837219
19.275,119,31506.285751
19.4,98,31535.751487
-19.895,14,31542.478765
0.08,18,31550.665645
17.95,230,31617.195449
19.75,61,31636.69046
-0.16,169,31682.759519
0.545,67,31702.842163
-19.965,102,31735.216303
-0.68,302,31823.612154
-20.0,1,31827.054639
-0.655,302,31918.127658
19.2,99,31948.728787
19.825,52,31965.381421
19.925,41,31979.035643
-19.635,55,31997.247547
19.875,51,32013.698158
-0.53,302,32103.004867
-0.305,302,32192.353125
18.125,202,32247.124949
-0.155,302,32326.63505
-20.165,237,32398.716266
19.975,72,32420.733123
0.145,107,32452.603417
19.925,58,32470.45541
-20.31,240,32541.240065
-19.795,124,32579.380019
0.1,250,32653.643561
-0.355,302,32742.212936
19.775,73,32764.8573
-19.61,70,32787.405515
0.235,36,32799.735916
0.36,61,32818.585668
19.85,58,32836.72753
-20.295,179,32889.675641
17.6,239,32955.310411
0.49,74,32977.472006
19.9,45,32992.488209
19.075,131,33031.73849
0.195,62,33050.765588
-0.125,10,33056.33663
0.07,137,33096.192565
-19.885,95,33126.53316
-0.105,302,33208.07339
-19.98,8,33213.31601
-0.155,302,33300.777641
-19.855,18,33308.641267
19.875,63,33327.949453
-19.875,16,33335.156654
19.625,71,33357.688762
19.9,38,33370.940804
19.975,43,33385.308601
-0.755,302,33476.709849
19.9,40,33490.296114
-0.63,302,33580.320529
19.95,45,33595.437469
-20.04,102,33624.435882
17.825,247,33692.345856
-0.255,302,33779.711957
19.875,48,33795.474377
-20.0,1,33798.884279
19.95,51,33815.302394
-19.995,4,33819.463213
19.85,77,33842.878791
19.975,48,33858.063545
19.7,83,33883.425503
18.075,200,33943.482764
-0.63,302,34035.184271
-0.155,302,34116.189014
18.425,177,34169.784919
-0.53,117,34204.873312
17.125,269,34277.237514
-0.605,302,34366.503217
-0.38,302,34455.808789
19.875,51,34472.384748
-20.05,81,34496.776776
19.975,51,34512.967479
-0.705,302,34603.862926
-19.88,13,34610.758669
0.04,24,34620.455642
-0.43,302,34705.720527
19.8,66,34726.835177
19.85,57,34744.841308
18.675,160,34790.2764
19.7,83,34815.384866
-0.655,302,34906.321295
-0.13,302,34994.464765
-0.015,1,34997.853371
18.425,183,35052.77382
0.09,154,35098.249737
-0.22,218,35160.08795
-0.305,302,35251.148393
-20.37,299,35341.709384
-20.47,219,35408.471653
-0.655,302,35499.3868
0.075,120,35533.768337
19.925,48,35549.832334
0.035,66,35570.410369
-19.95,16,35577.796843
-19.8,26,35587.598821
19.775,89,35613.173126
-19.915,152,35658.880184
-0.555,302,35749.436814
0.195,122,35783.56335
-19.91,35,35796.241402
-19.805,33,35808.23493
-0.165,221,35867.654312
0.085,21,35876.409066
-19.84,17,35884.176859
-19.795,24,35893.858233
-0.655,302,35981.360267
-0.355,302,36067.394753
19.975,49,36083.113763
17.35,256,36158.668294
0.12,37,36171.848682
-20.065,132,36212.017143
19.925,61,36231.052654
-19.79,32,36242.739386
19.275,112,36276.647037
0.015,189,36327.79371
-19.72,54,36344.725107
18.7,136,36385.177558
19.95,40,36398.791683
0.0,60,36417.604152
-0.755,302,36509.410256
19.925,47,36524.762397
-19.835,25,36534.81534
19.925,46,36550.159044
-0.255,302,36630.354475
-20.095,59,36650.528773
-0.155,302,36737.759374
19.925,41,36752.137513
0.335,61,36772.316867
-19.985,5,36776.839662
19.975,38,36790.325794
-19.895,14,36797.156975
0.1,15,36804.451835
19.775,82,36830.725688
-0.43,302,36918.790031
-19.835,20,36927.506885
18.85,133,36966.71353
19.9,69,36988.946755
19.95,53,37006.213737
0.105,28,37017.294508
-19.895,134,37062.373238
16.675,294,37154.798972
19.975,58,37173.235553
-19.745,29,37184.24971
0.05,225,37246.823951
-0.805,302,37343.696346
-0.255,302,37427.055678
-0.605,302,37522.42371
-0.38,302,37606.319722
19.825,58,37625.440634
-0.38,302,37714.152349
0.17,82,37739.63562
19.825,55,37758.196471
19.925,41,37772.968661
19.825,52,37791.358215
-20.105,228,37861.330752
-0.63,302,37957.754047
0.07,27,37968.905948
-0.605,302,38064.251918
-0.205,302,38159.73045
-20.065,242,38235.461716
19.75,65,38256.850202
0.07,62,38277.518095
-0.68,302,38373.504454
-19.845,19,38381.657355
19.9,41,38396.104896
-0.68,302,38480.549146
19.925,33,38492.755665
19.8,52,38510.444861
0.3,50,38527.293514
-0.48,302,38622.850436
19.675,84,38649.316151
19.975,60,38668.668319
19.925,39,38682.476823
19.6,63,38704.018143
18.375,163,38755.557296
19.9,37,38769.090184
19.875,64,38790.317006
-19.8,36,38803.963295
19.625,95,38833.724624
-0.68,302,38930.291553
19.85,50,38946.986166
19.275,93,38975.116357
17.825,223,39044.260008
-0.155,302,39127.251218
0.25,70,39149.038089
19.75,62,39169.510297
19.85,53,39187.647217
-0.155,302,39270.644731
19.6,86,39297.539528
-0.405,302,39380.993934
19.85,58,39399.884401
19.2,107,39434.694143
-19.875,16,39442.208136
19.95,45,39457.524398
19.975,46,39473.594574
18.725,150,39520.507679
0.555,68,39541.957059
-19.89,17,39549.570279
19.925,47,39565.552979
17.425,242,39641.928676
0.535,91,39669.99786
0.11,16,39677.555496
-0.505,302,39772.61692
19.8,69,39794.649677
19.9,62,39814.3575
-19.935,65,39837.086761
19.975,43,39852.101598
-0.555,302,39946.869524
-19.795,119,39984.81934
-19.75,76,40010.533697
0.045,17,40018.534837
19.725,57,40037.150614
19.875,76,40061.219394
-0.005,302,40154.292933
-20.215,177,40211.562377
-19.925,16,40218.991432
-19.97,19,40227.631795
19.125,135,40267.974211
19.95,46,40283.811493
19.85,54,40301.631298
-19.815,22,40311.139965
-19.7,36,40323.789675
19.825,72,40346.977254
18.075,205,40406.865783
-19.895,14,40413.679502
19.875,66,40435.075502
0.05,15,40442.530981
19.675,78,40467.607952
-0.45,205,40525.199757
0.195,62,40545.000569
18.95,117,40582.096176
19.925,60,40601.649923
19.825,46,40617.972585
19.975,43,40632.876216
18.925,129,40673.64688
19.975,42,40688.152628
-0.505,302,40771.434055
18.925,126,40811.891635
19.725,77,40835.238411
-20.015,2,40839.078383
-0.68,302,40922.256175
19.85,81,40947.560489
-20.005,3,40951.458233
19.85,60,40971.330184
19.975,36,40984.172654
-0.48,302,41080.040217
0.135,21,41089.152501
19.85,54,41107.153529
19.85,51,41124.487904
-0.425,285,41202.647246
-19.825,61,41223.079244
-19.885,15,41230.351278
-0.355,302,41322.253744
19.8,86,41348.954433
-0.18,302,41445.07805
19.85,51,41462.898037
-19.875,106,41495.086001
-0.205,302,41578.865874
19.7,79,41604.406634
19.975,37,41617.561276
19.9,65,41638.641962
-0.53,302,41734.00743
19.925,38,41748.059392
0.13,78,41772.268409
18.1,193,41828.385755
-20.025,56,41848.397215
0.035,76,41872.169276
19.05,130,41910.324388
19.725,76,41935.326568
19.95,64,41955.505105
18.85,128,41994.328008
19.95,44,42009.178589
19.95,59,42028.248229
-19.925,41,42043.456513
17.425,257,42124.182723
-0.28,302,42210.637635
18.825,142,42256.265187
18.475,177,42311.643038
19.875,49,42328.31592
19.625,83,42355.806556
-0.68,302,42438.855982
-0.53,302,42533.632014
19.6,80,42559.451623
19.875,53,42577.074283
19.9,63,42597.345781
19.75,59,42616.626884
19.75,62,42637.331264
18.875,141,42682.682971
19.65,90,42711.102449
19.85,47,42727.487
-19.985,105,42761.87413
19.85,49,42779.028507
19.925,55,42797.126567
17.35,268,42880.392357
-19.825,41,42895.419283
18.6,158,42940.819596
16.875,282,43021.872904
19.075,109,43054.50995
0.08,18,43062.860434
-19.995,4,43067.188327
-0.355,302,43161.405108
-19.895,14,43168.302916
19.875,47,43184.671498
-20.0,66,43208.033991
0.08,48,43225.400471
19.825,53,43243.075406
18.025,209,43308.450105
0.17,192,43368.782491
18.825,129,43409.665064
0.505,93,43439.371314
-20.23,283,43523.589527
-0.655,302,43620.018886
19.95,57,43638.736532
-0.605,302,43725.778823
19.975,49,43742.491131
19.45,102,43773.290249
0.11,61,43793.031828
16.9,295,43879.896184
19.975,54,43897.457056
19.175,114,43931.415999
16.85,285,44011.235804
19.85,81,44036.41468
19.9,72,44059.455702
19.35,82,44084.830819
19.85,54,44102.667804
19.9,66,44124.089725
-19.84,117,44159.974468
19.525,103,44192.800313
-0.655,302,44281.593865
-0.48,302,44366.546752
19.8,81,44392.761968
0.12,232,44458.570552
-20.105,53,44477.819283
19.875,58,44496.977965
-0.305,302,44590.38287
-0.78,302,44687.458989
-0.605,302,44770.645828
19.85,80,44795.533193
0.05,15,44802.974661
-0.405,302,44897.722789
-0.33,302,44992.147603
-0.08,187,45051.003605
-19.915,17,45059.084232
19.925,40,45073.053128
19.8,56,45091.647121
-19.9,16,45099.05669
19.725,59,45119.425422
18.75,158,45168.151805
-0.25,110,45201.29518
19.95,39,45215.094954
-0.38,302,45298.767902
-19.73,53,45317.20527
0.095,17,45324.799162
-0.655,302,45414.689236
0.43,53,45432.543547
-19.995,4,45436.819056
-19.99,12,45443.466454
19.85,47,45459.687979
17.2,266,45542.124016
-0.455,302,45633.208092
0.155,133,45675.212929
-0.3,105,45706.245754
19.225,109,45739.511539
-0.53,302,45834.158303
19.8,53,45851.607897
-19.875,46,45866.90038
0.16,166,45918.698146
-19.585,60,45937.965305
19.9,47,45954.018102
19.9,51,45971.438241
-19.87,29,45982.582034
19.175,111,46015.726786
19.675,65,46037.155452
-0.255,302,46120.726162
19.9,46,46136.516881
-19.875,16,46143.950372
19.725,78,46169.206403
-0.07,53,46187.909801
-19.89,67,46211.331295
19.825,76,46235.065063
-0.115,231,46304.090452
-20.015,2,46308.151674
-0.53,302,46403.770664
19.775,79,46428.755672
0.225,60,46448.549822
18.225,178,46505.32411
19.925,37,46518.657627
-0.23,302,46602.302049
-0.38,302,46695.740019
0.07,47,46712.493772
-19.8,31,46724.456225
-19.835,20,46733.454364
-19.855,18,46741.849484
18.1,204,46806.378465
-0.73,302,46902.455322
19.95,55,46920.810994
18.725,158,46970.243701
19.7,83,46996.021353
-0.395,28,47006.723389
19.9,69,47028.620739
-19.775,36,47041.756035
17.575,235,47110.286483
0.09,14,47117.239732
19.875,60,47136.904886
19.85,57,47155.767187
-19.885,15,47163.067127
-0.38,302,47245.384285
-0.31,219,47308.125541
-20.025,6,47313.074867
-19.885,15,47320.124962
19.425,95,47350.523948
19.975,43,47365.181688
19.825,60,47385.204107
19.8,60,47404.659974
18.425,190,47465.408385
19.35,113,47500.908117
-0.43,302,47583.638005
19.675,75,47607.740529
19.8,80,47632.68734
-0.505,302,47726.492739
-19.73,48,47743.004257
-20.095,194,47800.284753
-0.655,302,47892.773063
-0.43,302,47988.476842
-0.405,302,48073.088226
-0.605,302,48159.770348
19.975,45,48175.593692
-0.23,292,48255.889951
18.45,185,48312.294946
19.825,73,48335.478313
-0.655,302,48431.247277
-0.7,220,48500.609442
18.925,118,48535.462287
-0.605,302,48632.213074
-19.87,14,48639.077209
-0.405,302,48734.748492
0.09,24,48744.905381
-19.86,35,48757.6147
-0.655,302,48853.451993
19.9,54,48871.105541
19.925,44,48886.457695
19.85,60,48905.946873
19.975,34,48918.198977
18.525,177,48972.406893
-19.87,29,48983.649345
-19.785,85,49011.866413
19.825,62,49032.023975
19.775,80,49057.468457
19.275,114,49094.369144
-20.03,158,49145.237156
-0.48,302,49237.34483
19.75,60,49256.867599
0.095,17,49264.764959
-19.9,21,49273.868443
19.975,57,49292.79378
19.8,55,49311.342063
-0.43,302,49394.223572
19.225,114,49430.206351
17.725,218,49496.529161
19.725,60,49516.453435
-19.665,37,49529.749823
19.925,65,49550.980036
-20.005,3,49555.210423
-19.82,109,49593.102919
-0.255,302,49683.333639
0.45,80,49708.538307
19.75,55,49726.856323
-19.995,54,49746.022916
19.85,64,49767.296778
19.1,124,49807.208852
-0.405,302,49900.648997
19.7,73,49924.046451
19.825,52,49941.415839
0.12,17,49949.125303
18.675,142,49990.632009
-19.735,60,50011.18242
19.9,46,50027.645219
-0.63,302,50123.083213
0.375,70,50145.0004
19.575,64,50165.546934
-0.105,302,50250.104976
19.85,64,50271.38669
17.075,286,50356.12185
-20.09,67,50379.45538
0.12,152,50426.928785
-20.645,294,50519.577268
-0.405,302,50602.965436
19.95,45,50618.765721
19.7,80,50646.00457
-20.005,3,50649.909261
19.95,56,50668.057704
-0.53,302,50751.826225
-19.86,20,50760.339664
-0.305,302,50845.66595
19.825,49,50862.538749
-0.48,302,50955.698467
-20.37,269,51039.101468
-0.305,302,51134.981984
19.925,63,51155.672224
19.85,54,51173.77736
-20.27,159,51224.833791
-0.58,302,51319.285792
19.975,58,51338.066175
-20.16,135,51382.42684
-19.865,17,51390.099908
-0.455,302,51483.6861
0.17,187,51540.376964
-0.285,249,51613.316769
19.95,45,51628.781105
19.875,78,51654.06189
19.825,62,51673.950876
-0.255,302,51762.024775
-19.8,131,51803.154724
-20.1,176,51862.74268
19.925,43,51878.046491
19.975,54,51896.224848
-0.58,302,51991.448227
19.725,78,52016.209857
19.875,49,52033.142222
0.07,182,52090.128009
0.015,34,52103.210243
0.29,129,52143.647193
-20.015,2,52147.482624
0.06,111,52183.145659
0.09,29,52195.328861
-19.995,4,52199.593358
19.975,46,52215.113363
19.85,53,52232.322072
-0.23,302,52316.145782
-19.885,20,52324.728467
-0.655,302,52419.772496
-19.765,47,52437.027093
-0.33,302,52520.67087
-0.32,223,52590.327008
19.775,67,52612.52302
0.545,67,52634.225492
19.9,52,52651.401126
-19.915,27,52661.629629
20.0,40,52675.950414
19.95,39,52689.373174
19.95,38,52702.747034
19.1,122,52741.702358
19.375,108,52775.856267
17.8,237,52843.011416
19.975,62,52863.363474
-20.055,148,52907.59661
-19.815,22,52917.163228
19.825,55,52935.288977
19.325,110,52969.831684
-0.305,302,53056.68309
19.775,62,53076.794446
-0.63,302,53163.00021
0.155,193,53217.560535
-19.885,15,53224.691514
0.19,79,53249.675864
-20.565,237,53326.906182
17.5,235,53401.403358
19.95,42,53416.170677
19.975,37,53429.093651
19.8,58,53448.272897
-0.225,230,53514.003568
19.9,71,53536.291445
0.175,155,53580.65594
19.9,53,53598.209545
-0.73,302,53695.539244
19.875,53,53713.402246
-20.11,170,53768.461745
19.95,54,53786.221166
-0.405,302,53884.352411
19.875,63,53904.588181
19.65,58,53923.843008
-20.005,3,53927.971915
-19.99,2,53931.725151
-0.455,302,54025.81095
-20.05,201,54091.466689
-20.2,136,54131.825316
0.25,90,54160.76057
19.975,55,54179.27474
19.95,57,54197.770862
17.1,270,54279.896954
-20.0,1,54283.403035
-20.005,3,54287.590026
19.875,59,54307.0977
0.105,203,54367.05381
-19.94,17,54374.950658
19.925,50,54391.783239
19.95,49,54408.203788
19.7,68,54429.749061
-19.89,42,54445.315821
19.875,64,54465.840631
-0.33,302,54550.766779
19.9,56,54569.200383
0.01,186,54624.596729
-19.935,20,54633.271192
-0.355,302,54716.808104
19.925,80,54742.164391
-0.005,302,54826.094711
19.725,57,54845.520295
-19.68,108,54879.97894
-19.735,30,54891.468705
-0.205,302,54977.302791
19.7,64,54997.78599
0.16,21,55006.878224
18.85,148,55053.382874
19.875,45,55068.936275
-0.18,302,55155.543705
19.975,66,55177.076797
-19.965,142,55222.338979
-0.755,302,55305.479388
19.925,64,55325.109098
18.45,163,55369.828876
-19.95,16,55377.268885
-19.885,15,55384.379618
-0.605,302,55474.156213
19.9,45,55488.888241
-19.795,39,55502.594751
19.825,84,55527.046232
19.975,43,55541.311565
19.875,48,55557.280473
19.775,63,55576.643422
19.3,128,55615.211278
19.275,100,55646.156943
18.35,173,55693.585717
-0.405,302,55774.93147
19.95,45,55790.01219
-19.92,144,55834.757419
19.65,80,55859.034201
-0.655,302,55941.301388
-0.105,7,55946.168283
19.2,105,55977.523059
-19.875,16,55984.879036
19.975,50,56000.891138
19.95,55,56018.267786
-19.875,16,56025.51465
19.85,64,56046.097334
19.95,67,56066.500733
-19.865,32,56078.38794
-0.705,302,56158.801195
18.175,199,56229.456836
0.29,79,56254.204293
18.45,185,56309.888016
19.975,61,56329.687631
-19.735,45,56345.211317
19.9,45,56361.28509
-0.01,279,56438.874449
-19.93,28,56450.707053
-0.605,302,56545.752408
19.85,66,56566.613665
18.675,140,56607.170135
19.925,59,56626.235093
19.825,73,56649.067708
-20.59,292,56741.934289
-0.23,302,56825.631085
19.375,109,56858.210441
19.95,47,56874.446937
17.55,255,56954.402515
18.475,193,57013.429341
-19.94,27,57024.296001
-19.74,32,57035.856912
-0.64,216,57097.392995
20.0,43,57112.340586
-0.655,302,57206.448701
-0.755,302,57290.240041
-0.655,302,57386.788608
17.75,244,57455.877507
-0.43,302,57539.435786
-0.455,302,57633.341614
-19.9,131,57675.350294
19.825,53,57693.238597
-19.94,137,57738.057338
-19.93,18,57746.545439
-0.605,302,57841.040916
19.95,33,57852.956675
19.8,55,57871.223472
17.85,220,57941.06856
19.1,119,57976.12613
-19.84,22,57985.495608
-0.755,302,58070.059877
-20.01,30,58082.095416
19.6,70,58105.521918
19.825,56,58123.780702
-20.0,1,58127.225931
19.875,69,58150.091109
18.925,150,58195.822288
19.825,49,58212.722003
18.4,164,58264.462507
19.825,58,58283.838263
0.425,125,58323.218721
18.45,174,58377.412011
18.325,188,58430.470754
19.475,93,58461.336395
0.415,54,58478.977531
-20.005,3,58483.183442
-0.33,302,58567.439198
19.95,58,58585.815888
-0.655,302,58681.503763
17.975,222,58744.431178
19.95,64,58764.910429
19.4,96,58795.77816
19.9,49,58812.154647
19.9,80,58836.498625
-19.945,54,58855.254234
-0.355,302,58938.113633
-0.155,302,59021.612462
19.925,60,59040.908576
19.95,68,59062.640102
17.65,240,59132.469484
-0.73,302,59215.905291
17.25,271,59291.669952
19.75,63,59311.607521
-0.63,302,59402.011198
18.05,214,59463.766769
19.8,85,59490.263933
19.15,137,59530.937574
19.925,50,59547.152537
19.975,37,59559.952924
-0.18,302,59643.017272
-20.015,2,59646.760504
20.0,34,59659.138096
19.225,114,59692.900695
-19.865,17,59700.874302
-19.865,72,59725.312034
-0.355,302,59808.142955
-0.33,302,59897.12513
-20.305,138,59940.384102
19.8,71,59961.577734
19.9,63,59980.719723
19.775,56,59998.668064
-0.705,302,60078.052231
19.975,50,60094.078359
19.975,41,60107.870607
18.85,140,60150.111757
18.775,131,60187.220118
-0.74,266,60257.843188
-0.13,302,60336.873782
18.75,136,60375.392902
-0.655,302,60465.933324
-19.78,38,60479.011177
-20.025,6,60484.119824
19.925,49,60499.943702
19.05,133,60537.326732
19.975,66,60557.401525
19.8,58,60576.026084
18.9,137,60615.102566
18.8,153,60660.681852
-19.675,36,60673.010761
-19.685,50,60689.314362
19.85,61,60708.926662
-19.985,50,60726.298705
-0.105,302,60805.384733
-19.855,48,60821.74406
19.875,59,60840.286944
-0.305,302,60920.332943
19.95,41,60934.243876
19.8,57,60952.386225
19.925,59,60970.633522
-20.05,61,60990.7639
19.9,49,61006.773079
-19.95,101,61037.635622
19.025,141,61079.724735
-19.81,40,61093.810333
19.9,40,61107.408182
19.75,76,61130.809138
-19.895,14,61137.56695
19.975,51,61153.502363
18.0,190,61209.64292
-0.655,302,61293.1861
19.95,67,61313.653612
19.325,103,61344.778671
-19.8,26,61354.766378
-19.865,17,61362.516143
-20.125,111,61397.519673
-0.605,302,61488.359839
0.105,48,61504.368934
-20.0,1,61507.786674
19.9,50,61523.830397
-19.905,13,61530.290061
-19.905,13,61536.725352
-0.63,302,61628.339378
19.6,87,61653.762955
19.825,86,61679.126884
-19.905,18,61687.133192
17.05,290,61764.640525
19.45,95,61792.864193
-0.655,232,61857.335361
-0.655,302,61945.030573
19.85,51,61961.598587
