#{"t_start": 1641419706.7975063, "env_id": null}
r,l,t
-0.515,171,4447.925566
-0.145,13,4454.311438
-0.31,89,4479.644299
-0.06,9,4485.003145
-19.97,4,4489.537865
-0.015,1,4493.005655
-19.915,47,4508.19245
-0.08,22,4517.534252
-20.055,23,4527.710311
-0.06,19,4535.749598
-0.26,59,4554.310396
-19.955,8,4559.789671
-0.065,11,4565.699594
-20.02,4,4570.230356
-19.935,20,4579.106883
-0.07,8,4584.33505
-20.09,57,4602.631994
-0.045,8,4608.017215
-20.42,179,4657.909491
-20.355,208,4715.876673
-20.005,3,4720.063186
-0.105,12,4726.196877
-0.015,1,4729.595816
-0.12,28,4739.656523
-20.045,89,4766.535424
-0.21,74,4788.818285
-0.185,94,4817.712137
-20.515,202,4875.193888
-0.225,50,4891.239603
-0.17,48,4906.561289
-20.22,119,4941.420894
-19.995,29,4952.59303
-0.145,43,4966.636185
-0.045,13,4973.047227
-20.28,123,5008.717789
-0.15,20,5016.820807
-20.36,130,5053.549978
-0.955,287,5132.520945
-0.445,143,5172.52544
-20.245,69,5196.078175
-20.09,67,5219.05798
-0.085,14,5226.06099
-0.09,31,5237.076706
-0.09,41,5250.528426
-0.035,4,5254.87095
-0.205,37,5268.293643
-20.13,73,5291.177061
-0.21,64,5310.685777
-0.115,21,5319.289869
-0.37,118,5352.602329
-0.03,7,5357.390305
-19.96,5,5362.189528
-20.03,18,5370.972224
-0.105,12,5377.697895
-0.11,19,5385.456809
-0.03,22,5394.127276
-20.07,24,5403.970083
-0.065,6,5408.616115
-0.075,15,5415.531191
-0.12,33,5427.09426
0.005,8,5432.172532
-19.98,28,5443.034388
-19.96,5,5447.935478
-0.1,20,5456.0761
-0.565,191,5507.634883
-0.1,40,5520.797253
-20.365,117,5555.281633
-20.03,8,5560.847052
-0.06,29,5571.561942
-0.235,69,5592.243574
-0.185,54,5609.382253
-20.035,10,5615.650333
-19.96,15,5623.214039
-0.15,45,5638.830925
-0.125,60,5657.180524
-20.17,79,5682.000888
-0.175,35,5694.624167
-19.975,21,5704.189713
-0.195,23,5713.147907
-0.02,13,5719.498833
-0.05,5,5723.934416
-20.145,119,5760.343687
-0.215,26,5770.055601
-0.03,52,5787.302596
-0.08,7,5792.158292
-0.13,17,5799.585324
-20.0,1,5803.098657
-0.115,26,5813.268867
-20.185,115,5846.722204
-20.03,33,5858.933693
-0.065,6,5863.594361
-0.105,12,5869.995244
-0.04,6,5874.673899
-0.015,1,5878.138336
-20.0,21,5887.464967
-0.39,51,5903.62065
-0.04,6,5908.25231
-0.15,40,5921.547321
-0.025,10,5927.310283
-0.24,66,5947.975328
-19.99,2,5951.793483
-20.325,96,5979.670099
-20.01,20,5989.38407
-0.095,8,5994.514659
-0.215,56,6012.347504
-0.12,43,6026.371924
-20.075,31,6038.214722
-20.415,147,6079.713921
-0.06,14,6086.510099
-0.065,6,6091.089416
0.01,1,6094.459081
-19.965,17,6102.245543
-19.93,8,6107.933896
-0.32,98,6135.975693
-19.965,42,6150.680567
-0.165,61,6170.475503
-19.99,2,6174.24056
-0.275,45,6189.447999
-20.1,71,6213.682603
-20.025,6,6218.588168
-0.03,32,6230.234937
-0.06,4,6234.345596
-0.045,8,6239.50582
-0.05,20,6247.533546
-0.575,235,6313.273582
-20.6,156,6357.537063
-0.06,19,6365.485902
-0.35,85,6390.7867
-0.105,27,6400.678999
-0.15,30,6411.796722
-20.01,5,6416.34722
-19.99,7,6421.853553
-0.105,32,6433.165946
-0.155,37,6445.541405
-0.33,107,6476.038507
-0.025,25,6485.542768
-0.04,6,6490.100189
-0.07,8,6495.197769
-0.295,83,6520.145206
-0.23,42,6533.822913
-0.045,8,6538.81199
-0.43,117,6574.413536
-0.16,49,6590.370298
-20.0,6,6595.39953
-20.215,82,6620.440563
-19.94,12,6627.494144
-0.045,8,6632.590001
-19.97,9,6638.585222
-0.225,40,6653.084862
-0.245,58,6670.788153
-20.005,8,6676.459052
-0.085,64,6696.66387
-0.08,17,6703.951895
-0.105,12,6710.369189
-0.27,63,6729.413334
-20.025,21,6738.801705
-20.055,38,6752.581622
-19.92,44,6767.408762
-0.115,21,6776.115199
-0.02,3,6779.948826
-20.375,171,6827.776868
-20.095,44,6843.207948
-0.14,61,6862.227881
-0.03,7,6867.306274
-20.04,7,6872.772104
-19.99,2,6876.608534
-20.045,24,6886.817072
-20.015,57,6905.159585
-0.185,49,6921.096119
-0.105,27,6931.204324
-0.195,38,6943.994728
-0.02,3,6948.135193
-0.11,14,6954.702406
-19.98,8,6960.529961
-0.155,27,6970.714047
-20.02,19,6979.771401
-0.15,35,6992.4495
-0.2,30,7002.917872
-20.005,8,7008.633459
-0.32,73,7031.28365
-0.15,65,7050.924788
-19.935,10,7057.289758
-20.165,77,7081.516435
-0.145,68,7101.903463
-0.11,9,7107.332805
-20.17,109,7139.259777
-19.97,14,7146.873782
-20.08,38,7160.921727
-0.105,17,7168.964611
-19.955,33,7181.413443
-0.395,133,7220.151178
-0.295,113,7251.785183
-19.985,10,7258.196371
-0.135,29,7268.59101
-20.09,62,7288.800191
-0.18,22,7297.272262
-0.08,17,7304.654329
-0.05,25,7314.303108
-0.045,3,7318.236165
-20.05,86,7346.126021
-0.11,19,7353.765307
-0.06,4,7357.776732
-0.04,6,7362.662395
-0.035,4,7367.260537
-0.07,33,7379.02989
-0.045,3,7382.872256
-0.365,116,7416.473602
-0.105,42,7432.349712
-19.97,19,7440.572438
-0.19,31,7451.474039
-0.33,92,7480.096337
-0.045,8,7485.133566
-0.71,259,7558.143036
-0.205,37,7570.743894
-20.04,32,7582.882224
-19.94,57,7600.541277
-20.345,129,7637.600539
-0.07,18,7645.324656
-0.385,139,7685.092141
-0.53,182,7735.763281
-19.98,13,7743.017317
-0.365,131,7779.160532
-0.175,50,7795.73408
